AlligatorRivers,ApprouagueRiver,CongoDelta,EssequiboRiver,FuroSantaMaria,KikoriRiver,Loango,MacDonaldDoughboy,MissionRiver,Morawhanna,Taman,TanaRiver
0.00035308,0.000500558,0.001307591,0.000673142,0.000608672,0.00071909,0.00068692,0.000660915,0.00035308,0.001000465,0.005561416,0.000534937
0.000395442,0.000608672,0.004136665,0.001000465,0.001000465,0.001209704,0.00294374,0.00071909,0.00035308,0.00152044,0.00615806,0.000961819
0.000490464,0.000673142,0.007777069,0.001063944,0.001063944,0.001432112,0.00319,0.001029313,0.000660915,0.00255346,0.00631136,0.000969674
0.000493091,0.001063944,0.014257562,0.001772886,0.001731642,0.0018802,0.00403,0.001081329,0.00071909,0.002970874,0.007556618,0.001416334
0.000543412,0.001190407,0.02007,0.001772886,0.00255346,0.002401434,0.004237699,0.001209704,0.000725764,0.002978925,0.007977822,0.001604005
0.000876297,0.001223619,0.020168286,0.00255346,0.002703952,0.002606002,0.005359132,0.001314835,0.001029313,0.004072444,0.018869214,0.001794297
0.000935761,0.001741686,0.02213,0.002907399,0.002978925,0.002720987,0.00538,0.001410814,0.001029313,0.008409856,0.02014413,0.001854641
0.000946501,0.001772886,0.03901,0.002978925,0.003902507,0.002822293,0.00563,0.001519528,0.001081329,0.010577532,0.02676,0.001958812
0.001029313,0.00255346,0.041247868,0.003143681,0.005501452,0.00294374,0.006133155,0.001754062,0.001116996,0.015434998,0.0278332,0.002102718
0.001029313,0.002703952,0.04185,0.003902507,0.006109509,0.002970874,0.00643,0.001998957,0.001209704,0.019,0.038786112,0.00223429
0.001116996,0.002718204,0.04365,0.003902507,0.006430428,0.003123425,0.006804897,0.002073583,0.001314835,0.031944073,0.05433,0.002361505
0.001116996,0.002970874,0.0465,0.004072444,0.008607065,0.003310542,0.00817,0.002151014,0.001410814,0.035751972,0.054368145,0.002462412
0.001209704,0.002978925,0.06272,0.005799927,0.010698036,0.00340694,0.008503013,0.002296012,0.001519528,0.04074,0.06380393,0.002462412
0.001209704,0.003143681,0.066518964,0.006430428,0.014257562,0.003605516,0.011795142,0.002512925,0.001519528,0.050534882,0.07,0.002512925
0.001267805,0.003486295,0.066518964,0.007407383,0.015956223,0.003707738,0.01218,0.002970874,0.001754062,0.051044746,0.071910173,0.002531845
0.001307591,0.003712989,0.068379288,0.008409856,0.026188862,0.003918151,0.014257562,0.003123425,0.001998957,0.05222,0.075473434,0.002751079
0.001337886,0.003902507,0.068493687,0.009096142,0.028434799,0.004136665,0.01449,0.003123425,0.002073583,0.057,0.076025654,0.002970874
0.001519528,0.003902507,0.07375,0.010577532,0.031944073,0.004317424,0.01649,0.003123425,0.002151014,0.0605,0.081883443,0.003252429
0.001543796,0.004072444,0.08085,0.014257562,0.03315,0.004479997,0.016553353,0.003659633,0.002296012,0.069503648,0.08499,0.00351025
0.001553237,0.004173457,0.08984,0.015956223,0.035751972,0.004967711,0.01659,0.003707738,0.002970874,0.0734,0.089706049,0.00387625
0.001587458,0.004862722,0.093113263,0.019837,0.043458423,0.005095128,0.01705,0.004237699,0.003123425,0.07884,0.11156758,0.004442534
0.001754062,0.005501452,0.09564,0.021740432,0.044786767,0.005561416,0.0172,0.004970238,0.003123425,0.089,0.11439,0.005034531
0.0018802,0.005518035,0.103357494,0.030650635,0.047148116,0.005627395,0.01899,0.005907389,0.003123425,0.098836648,0.122324396,0.005062026
0.001906157,0.005561416,0.11096,0.035751972,0.050534882,0.005627395,0.02213,0.00611247,0.003659633,0.1057687,0.129319563,0.005191715
0.001998957,0.006109509,0.112,0.03604,0.051044746,0.005907389,0.026897855,0.00631136,0.003664003,0.120207737,0.16805,0.00631136
0.002073583,0.00759,0.117696449,0.03628,0.05233,0.006196854,0.029,0.006804897,0.004070217,0.13352018,0.178446657,0.007
0.002296012,0.007961218,0.12046,0.04159,0.054787782,0.00631136,0.03259,0.006975775,0.004136665,0.147154249,0.186226373,0.007123824
0.00233237,0.008409856,0.12775,0.043458423,0.068260369,0.007407383,0.032865918,0.007407383,0.004237699,0.168845588,0.20949,0.007407383
0.002589855,0.012113573,0.13813151,0.044786767,0.077699346,0.007931085,0.033415845,0.007792369,0.004501457,0.174271172,0.290668654,0.007777069
0.002771321,0.012642479,0.14065,0.050534882,0.077785303,0.00814234,0.03442,0.008503013,0.004970238,0.17734,0.35648,0.008359664
0.00281278,0.012642479,0.14099,0.051044746,0.07884,0.008503013,0.037076317,0.00856,0.00611247,0.179554264,0.4,0.009212391
0.00294374,0.014019848,0.157275695,0.057,0.098836648,0.009492126,0.0371,0.010056292,0.006196854,0.18498,0.467038299,0.01028
0.00294374,0.014257562,0.176788057,0.0605,0.101194927,0.010298944,0.04185,0.010298944,0.00627,0.204843879,0.521359018,0.010553421
0.003032664,0.015,0.252927059,0.069503648,0.105697314,0.010473156,0.04365,0.010298944,0.00631136,0.267795725,0.601712287,0.012175798
0.003123425,0.015434998,0.33288,0.071267129,0.11243,0.012737779,0.044589087,0.010324185,0.006495966,0.298608391,0.655616308,0.012725202
0.003123425,0.01587,0.448926964,0.0734,0.114938715,0.01322804,0.05003,0.010482798,0.006804897,0.330952124,0.764702371,0.012737779
0.003123425,0.015956223,0.47907,0.0734,0.141817515,0.013731174,0.05446,0.010658364,0.007792369,0.33985,0.782198174,0.013
0.0031418,0.01651293,0.63043,0.087695599,0.147154249,0.01444,0.0576,0.011041534,0.008503013,0.38967372,0.866172547,0.014148658
0.003310542,0.018800933,0.717116027,0.089,0.168845588,0.014776798,0.06272,0.012,0.00856,0.418506407,1.082321643,0.014257562
0.003478821,0.019,1.26752,0.093960386,0.18498,0.015319658,0.06407,0.012426268,0.010298944,0.42581,1.109385155,0.01426785
0.003659633,0.019837,1.95,0.098836648,0.18538581,0.015932533,0.06604,0.01384,0.010324185,0.557489413,1.387439406,0.016076639
0.003846329,0.02,2.251879281,0.10228,0.191792631,0.018428542,0.070822845,0.014844094,0.011041534,0.74947,1.432300825,0.017864384
0.003918151,0.021740432,2.87565,0.110047119,0.197811044,0.018472624,0.07095,0.015247198,0.012,0.918737436,1.777065031,0.0185
0.004501457,0.022261116,3.122264779,0.13352018,0.24647,0.0208404,0.077588017,0.015319658,0.013677565,0.97433,2.251879281,0.01895752
0.004854289,0.024191383,3.737454214,0.139159931,0.26395,0.021527817,0.08792,0.016,0.01384,0.978164887,2.78097,0.020168286
0.00490875,0.025255705,3.75085,0.141817515,0.28499,0.02305,0.08984,0.018241877,0.014844094,1.13475,2.82668,0.020169022
