AlligatorRivers,ApprouagueRiver,MissionRiver,TanaRiver
0.00035308,0.00255346,0.001081329,0.001416334
0.000395442,0.002978925,0.001209704,0.001604005
0.000493091,0.003143681,0.001519528,0.001794297
0.000946501,0.003486295,0.001519528,0.001854641
0.001116996,0.003902507,0.001754062,0.00223429
0.001116996,0.004072444,0.001998957,0.002512925
0.001209704,0.005501452,0.002073583,0.002751079
0.001209704,0.008409856,0.003123425,0.005062026
0.001519528,0.012113573,0.003478821,0.005191715
0.001587458,0.012642479,0.003659633,0.007
0.001754062,0.014257562,0.003664003,0.009212391
0.0018802,0.015956223,0.004136665,0.014257562
0.001998957,0.01651293,0.004237699,0.016076639
0.002296012,0.019837,0.00436345,0.0185
0.002771321,0.021740432,0.004501457,0.01895752
0.003123425,0.022261116,0.004970238,0.020168286
0.003478821,0.028434799,0.00631136,0.020169022
0.003659633,0.031944073,0.006495966,0.030279578
0.003918151,0.03491,0.007792369,0.034764409
0.00490875,0.035751972,0.00856,0.036268171
0.007792369,0.04074,0.010298944,0.037076317
0.008503013,0.044786767,0.010324185,0.04185
0.00856,0.050534882,0.011041534,0.042403717
0.010324185,0.051044746,0.012,0.05381
0.010658364,0.069503648,0.013677565,0.05587
0.011041534,0.071267129,0.014844094,0.058666951
0.011342399,0.098836648,0.015319658,0.06380393
0.012,0.098836648,0.018606407,0.06380393
0.013016082,0.101194927,0.022757955,0.066518964
0.02356,0.107406796,0.025201143,0.080015473
0.027329601,0.112690354,0.027807273,0.089706049
0.03234,0.120207737,0.027807273,0.0958
0.03873,0.120207737,0.03524,0.09599
0.039573781,0.141817515,0.035657357,0.105678505
0.044250933,0.147154249,0.047579601,0.123
0.0452,0.168845588,0.07129,0.12707
0.047579601,0.176460849,0.073792132,0.132678218
0.059848462,0.17734,0.078310934,0.13813151
0.07129,0.178224527,0.105092827,0.170867252
0.084856742,0.179554264,0.10694266,0.186226373
0.12076,0.1796008,0.10694266,0.251402907
0.123642655,0.18538581,0.10694266,0.28183
0.14648,0.203084099,0.12076,0.315089693
0.16929,0.204843879,0.123642655,0.388353469
0.19265,0.228192923,0.14268,0.471795117
0.19265,0.24647,0.147481518,0.717116027
0.228192923,0.267795725,0.15651283,0.789084908
0.283791903,0.298608391,0.1575,0.81117
0.358109679,0.31403,0.168245748,0.965457752
0.391371556,0.330952124,0.184497846,1.72213
0.391371556,0.33985,0.185511054,1.95
0.47092,0.340121195,0.228192923,2.290032263
0.544139158,0.341663693,0.236290414,2.405106273
0.62617,0.353744275,0.252348077,3.122264779
0.681263559,0.384761122,0.252348077,3.60016
0.782198174,0.418506407,0.252348077,3.69599
0.818297416,0.42581,0.252348077,4.8334
0.842333075,0.4698665,0.283791903,5.04129
0.867783098,0.51584565,0.297492816,5.63901
0.911477144,0.54056,0.300695682,9.24995
1.50577,0.555454227,0.312569834,11.99996
1.603692998,0.557489413,0.317418469,14.98546505
2.68539,0.681263559,0.327937141,15.82215
2.880539228,0.72894123,0.358109679,21.99999
3.495326036,0.74947,0.391371556,38.80437
4.49997,0.828281715,0.391371556,50.57792
6.067444033,0.871589896,0.415337939,52.39999
6.939880416,0.95487,0.415337939,52.59169
9.571160808,1,0.42223659,55.46446
10.12338067,1.03047,0.474527787,63.36998
11.81575,1.03047,0.474527787,75.60752
17,1.106665658,0.549540874,79.13217
21.71016364,1.13475,0.567192111,82.49999
21.71016364,1.245615257,0.62617,94.32039
26.30015718,1.387498697,0.64442,136.00033
1150.299704,1.532030329,0.669655841,158.62393
,1.66719,0.669655841,204.39348
,1.722565965,0.681263559,400
,1.803445436,0.782198174,562.59269
,1.9,0.818297416,591.3955721
,2.363384631,0.842333075,592.66598
,2.428456575,0.867783098,964.65473
,2.44181,0.911477144,1536.3104
,2.75838,1.338379266,3824.53993
,2.78764,1.338379266,
,3.00999,1.338379266,
,3.00999,1.50577,
,3.030065726,1.59057,
,3.214803215,1.603692998,
,3.27081,2.68539,
,3.7755,2.880539228,
,3.922317946,3.495326036,
,3.94901,4.352006737,
,4.1162,4.665504805,
,4.13499,5.356414043,
,4.3758,6.067444033,
,4.434010457,6.242188842,
,4.57045225,6.939880416,
,4.8,9.571160808,
,6.32454,10.12338067,
,6.39831,11.81575,
,6.55497,21.71016364,
,6.584406955,27.2501,
,6.6465,39.23452969,
,6.875,1150.299704,
,6.93172,,
,8.17255,,
,8.17255,,
,8.220684806,,
,8.69725,,
,9.70283,,
,11.1551513,,
,11.88,,
,13.58501871,,
,16.63317,,
,16.63317,,
,19.99888542,,
,20.54686,,
,21.13369,,
,21.13369,,
,21.66907022,,
,26,,
,29.53183,,
,31.79871,,
,35.28376647,,
,40.64189,,
,46.22003451,,
,48.14491,,
,48.14491,,
,53.95405,,
,53.95405,,
,73.38140621,,
,75.90125,,
,83.94309,,
,169.49664,,
,883.39781,,
