No.,Collection,Clade,Terrestriality,BM Category,Scientific Name,Sex,C&E Measured,BM.log,Mean CSA,Min CSA,Max CSA,Mean LCSA,Min LCSA,Max LCSA,Mean DCSA,Min DCSA,Max DCSA,BM.g
4402,ROMV,Reptilia,Semiaquatic,>100 kg,Alligator mississippiensis,F,N,5.03686833,2.206610474,2.159491997,2.244277121,2.280211894,2.193820026,2.421706731,2.129107066,2.062816929,2.190338703,108860
6872,ROMV,Reptilia,Semiaquatic,10-100 kg,Caiman crocodilus,M,Y,4.343408594,1.794685514,1.752240571,1.838061612,1.889456655,1.806179974,1.986872461,1.695291467,1.645643291,1.761627185,22050.00001
6254,ROMV,Mammalia,Terrestrial,10-100 kg,Canis latrans,F,N,4.098609119,1.556950443,1.433929766,1.653983907,1.72390855,1.488585966,1.927575655,1.401052646,1.334905906,1.591760035,12548.99999
1723,ROMV,Mammalia,Semiaquatic,1-10 kg,Castor canadensis,,N,3.889301703,1.393659015,1.181832159,1.574357445,1.554329486,1.391838506,1.704959987,1.259145812,0.942583422,1.460756937,7750.000009
75074,CMN,Mammalia,Terrestrial,>100 kg,Cervus canadensis,M,N,5.397028772,2.560083374,2.493700401,2.620507078,2.604095094,2.530343446,2.748029481,2.51383992,2.430746306,2.617342213,249475.9999
8921,ROMV,Mammalia,Terrestrial,1-10 kg,Didelphis virginiana,F,N,3.677698181,0.933367759,0.716003344,1.136799811,1.030956393,0.742135725,1.276978514,0.851816151,0.602059991,1.088136089,4760.999995
8318,ROMV,Mammalia,Terrestrial,>100 kg,Equus caballus,,Y,5.544068044,2.399931261,2.361633414,2.443966678,2.45107448,2.394561116,2.51535715,2.354905915,2.270265303,2.460897843,349999.9997
75066,CMN,Mammalia,Terrestrial,1-10 kg,Erethizon dorsatum,M,N,3.899711095,1.351684496,1.069958393,1.661949859,1.494911427,1.249595158,1.808348737,1.22173104,0.824921095,1.515550982,7938.000008
75511,CMN,Mammalia,Terrestrial,10-100 g,Lemmus sibiricus,F,N,1.550228353,-0.360635775,-0.493934897,-0.261140198,-0.168834366,-0.394452549,-0.008729611,-0.519376327,-0.61960784,-0.3675174,35.5
75359,CMN,Mammalia,Terrestrial,1-10 kg,Lepus americanus,M,N,3.149219113,0.721275315,0.234067824,0.99831711,0.95001897,0.508128906,1.379505392,0.531547316,-0.039993257,0.754976767,1410.000001
