Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,Aurukun,MurgenellaCreek,AlligatorRivers,Otakwa,Taman,KamparRiver,KikoriRiver,Porai,TanaRiver,Lamu,KilwaKisiwani,Loango,CongoDelta,CuanzaRiver,DombeGrande,MungoRiver,FuroSantaMaria,CaeteRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver,Matapica,EssequiboRiver,Marawhanna
0.001209704,0.001209704,0.001209704,0.001209704,0.001209704,0.001209704,0.000395442,0.005627395,0.007556618,0.006196854,0.00631136,0.001209704,0.001416334,0.001416334,0.000920865,0.004237699,0.001307591,0.001307591,0.002660158,0.003795511,0.014257562,0.001063944,0.000608672,0.002978925,0.000608672,0.001741686,0.003902507,0.001772886,0.031944073
0.001519528,0.001519528,0.001314835,0.001754062,0.001754062,0.001209704,0.000946501,0.00631136,0.038786112,0.00631136,0.092820147,0.00294374,0.001604005,0.001958812,0.001958812,0.011795142,0.014257562,0.004136665,0.004136665,0.004981954,0.028434799,0.010698036,0.001190407,0.003143681,0.001190407,0.001772886,0.010698036,0.001772886,0.035751972
0.001519528,0.001519528,0.001754062,0.002073583,0.002296012,0.001519528,0.001116996,0.048296756,0.054368145,0.007341543,0.156302009,0.003123425,0.00223429,0.004442534,0.00351025,0.014257562,0.0193,0.014257562,0.004842511,0.005094604,0.051044746,0.051044746,0.001741686,0.003486295,0.002978925,0.001909447,0.051044746,0.003143681,0.050534882
0.001754062,0.001754062,0.004237699,0.003123425,0.007792369,0.001587458,0.001209704,0.117178024,0.06380393,0.012116006,0.215059013,0.004653577,0.002512925,0.005062026,0.004441028,0.016553353,0.103357494,0.066518964,0.008304175,0.006133155,0.114938715,0.114938715,0.003902507,0.003902507,0.003143681,0.003902507,0.168845588,0.003902507,0.069503648
0.003659633,0.002073583,0.010324185,0.003659633,0.011041534,0.00233237,0.001209704,0.252348077,0.071910173,0.012578171,0.222063538,0.005324747,0.005062026,0.00631136,0.005034531,0.033415845,0.13813151,0.157275695,0.095000863,0.006804897,0.298608391,0.340121195,0.008409856,0.004072444,0.003486295,0.003902507,0.178224527,0.007407383,0.1057687
0.004237699,0.003659633,0.011041534,0.004237699,0.014844094,0.00631136,0.001519528,0.300695682,0.075473434,0.027179543,0.252348077,0.00631136,0.005191715,0.012175798,0.006163644,0.13813151,0.157275695,0.176788057,4.57308,0.008503013,0.330952124,0.918737436,0.014257562,0.005501452,0.003902507,0.00631136,0.180889992,0.008409856,0.147154249
0.007407383,0.004237699,0.014844094,0.007792369,0.018606407,0.007792369,0.001587458,,0.122324396,0.047391879,0.681263559,0.009492126,0.009212391,0.014257562,0.006410727,0.149312452,3.737454214,2.756084826,8.213573636,0.011795142,0.828281715,,0.025255705,0.008409856,0.003902507,0.008409856,0.18538581,0.009096142,0.168845588
0.007792369,0.00436345,0.018606407,0.010324185,0.025201143,0.010324185,0.001754062,,0.186226373,0.054368145,0.867783098,0.010056292,0.014257562,0.031944073,0.010569006,0.157275695,19.70010337,591.3955721,21.99999,0.014257562,1.106665658,,0.028434799,0.012642479,0.006109509,0.012642479,0.298608391,0.010577532,0.174271172
0.010324185,0.00631136,0.022757955,0.011041534,0.10694266,0.011041534,0.0018802,,0.467038299,0.054573189,1.338379266,0.010298944,0.016076639,0.034764409,0.011334731,0.228192923,190.0987484,,,0.016553353,4.57045225,,0.031944073,0.014257562,0.006430428,0.014257562,0.330952124,0.050534882,0.298608391
0.011041534,0.006495966,0.025201143,0.018606407,0.123642655,0.358109679,0.002296012,,0.521359018,0.06380393,160.2577315,0.022757955,0.020168286,0.103357494,0.025744592,2.756084826,,,,0.020168286,883.39781,,0.050534882,0.015956223,0.008409856,0.025255705,0.340121195,0.18538581,0.330952124
0.014844094,0.007792369,0.10694266,0.021527817,0.185511054,1150.299704,0.002771321,,0.655616308,0.101536307,1150.299704,0.034764409,0.030279578,0.117219537,0.031944073,2.756084826,,,,0.03122,,,0.051044746,0.021740432,0.010698036,0.050534882,0.72894123,0.298608391,1.340517994
0.016,0.010324185,0.123642655,0.022757955,0.185511054,,0.003478821,,2.78097,0.105936994,,0.046415401,0.034764409,0.132678218,0.036041395,23.74741572,,,,0.039304687,,,0.147154249,0.028434799,0.012642479,0.051044746,1.016949696,0.330952124,3.030065726
0.018606407,0.011041534,0.358109679,0.025201143,0.544139158,,0.003659633,,2.82668,0.113879497,,0.048296756,0.036268171,0.13813151,0.036268171,29.39785892,,,,0.044928745,,,0.168845588,0.031944073,0.014257562,0.13352018,1.340517994,0.340121195,
0.019448548,0.013677565,0.62617,0.03524,0.549540874,,0.003918151,,42.12901091,0.122324396,,0.060609805,0.06380393,0.176788057,0.038786112,52.39999,,,,0.081290829,,,0.178224527,0.035751972,0.021740432,0.147154249,3.030065726,0.828281715,
0.022757955,0.014844094,0.867783098,0.117178024,0.681263559,,0.007792369,,246.6039337,0.142515767,,0.092820147,0.080015473,0.186226373,0.105678505,190.0987484,,,,0.105678505,,,0.18538581,0.044786767,0.028434799,0.168655303,3.922317946,1.016949696,
0.025201143,0.018606407,0.911477144,0.215059013,1.694475996,,0.008503013,,806.1006979,0.178446657,,0.117178024,0.089706049,0.228192923,0.132678218,591.3955721,,,,0.109730499,,,0.298608391,0.050534882,0.031944073,0.168845588,4.57045225,6.32454,
