MissionRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver
0.001209704,0.002978925,0.000608672,0.001741686
0.001519528,0.003143681,0.001190407,0.001772886
0.001519528,0.003486295,0.002978925,0.001909447
0.001754062,0.003902507,0.003143681,0.003902507
0.002073583,0.004072444,0.003486295,0.003902507
0.003659633,0.005501452,0.003902507,0.00631136
0.004237699,0.008409856,0.003902507,0.008409856
0.00436345,0.012642479,0.006109509,0.012642479
0.00631136,0.014257562,0.006430428,0.014257562
0.006495966,0.015956223,0.008409856,0.025255705
0.007792369,0.021740432,0.010698036,0.050534882
0.010324185,0.028434799,0.012642479,0.051044746
0.011041534,0.031944073,0.014257562,0.13352018
0.013677565,0.035751972,0.021740432,0.147154249
0.014844094,0.044786767,0.028434799,0.168655303
0.018606407,0.050534882,0.031944073,0.168845588
0.022757955,0.051044746,0.035751972,0.180889992
0.025201143,0.069503648,0.044786767,0.18538581
0.03524,0.141817515,0.050534882,0.298608391
0.10694266,0.147154249,0.051044746,0.330952124
0.10694266,0.168845588,0.062492741,0.341663693
0.123642655,0.178224527,0.069503648,0.384761122
0.15651283,0.18538581,0.085499859,0.72894123
0.168245748,0.267795725,0.10228,0.828281715
0.185511054,0.298608391,0.1057687,0.918737436
0.252348077,0.330952124,0.13352018,1
0.300695682,0.340121195,0.141817515,1.117002973
0.317418469,0.341663693,0.147154249,2.188578452
0.327937141,0.353744275,0.168655303,3.27081
0.358109679,0.384761122,0.168845588,3.922317946
0.415337939,0.418506407,0.178224527,4.8
0.415337939,0.51584565,0.180889992,6.32454
0.42223659,0.72894123,0.18538581,6.55497
0.549540874,0.828281715,0.298608391,11.88
0.62617,0.871589896,0.330952124,19.99888542
0.681263559,1,0.340121195,26
0.818297416,1.106665658,0.341663693,46.22003451
0.867783098,1.532030329,0.350929995,53.95405
0.911477144,2.428456575,0.353744275,73.38140621
1.338379266,3.030065726,0.384761122,83.94309
1.338379266,3.214803215,0.38967372,
3.495326036,3.27081,0.418506407,
4.352006737,3.922317946,0.51584565,
5.356414043,4.57045225,0.72894123,
6.242188842,4.8,0.828281715,
6.939880416,6.32454,0.871589896,
9.571160808,6.55497,0.918737436,
21.71016364,11.88,1,
39.23452969,19.99888542,1.082321643,
1150.299704,26,1.117002973,
,29.53183,1.340517994,
,40.64189,1.532030329,
,46.22003451,2.188578452,
,53.95405,3.030065726,
,53.95405,3.27081,
,73.38140621,3.922317946,
,83.94309,4.57045225,
,883.39781,4.8,
,,6.32454,
,,6.55497,
,,11.88,
,,26,
,,29.53183,
,,46.22003451,
,,53.95405,
,,73.38140621,
,,83.94309,
