Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,Aurukun,AlligatorRivers,Taman,KamparRiver,Porai,TanaRiver,Lamu,KilwaKisiwani,Loango,MungoRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver,Matapica,EssequiboRiver
0.001209704,0.001209704,0.001209704,0.001209704,0.001209704,0.000395442,0.007556618,0.005561416,0.001209704,0.001416334,0.001416334,0.000920865,0.004237699,0.003795511,0.000608672,0.002978925,0.000608672,0.001741686,0.003902507,0.001772886
0.001519528,0.001519528,0.001314835,0.001754062,0.001754062,0.000946501,0.038786112,0.006196854,0.00294374,0.001604005,0.001854641,0.001958812,0.011795142,0.004981954,0.001190407,0.003143681,0.001190407,0.001772886,0.010698036,0.001772886
0.001519528,0.001519528,0.001754062,0.002073583,0.002296012,0.001116996,0.054368145,0.00631136,0.002970874,0.001854641,0.001958812,0.00351025,0.014257562,0.005094604,0.001741686,0.003486295,0.002970874,0.001909447,0.043458423,0.003143681
0.001754062,0.001754062,0.002970874,0.002512925,0.007792369,0.001209704,0.06380393,0.007341543,0.003123425,0.00223429,0.004442534,0.004441028,0.016553353,0.006133155,0.003902507,0.003902507,0.002978925,0.003902507,0.051044746,0.003902507
0.003659633,0.002073583,0.004237699,0.002970874,0.010298944,0.001209704,0.071910173,0.012116006,0.004653577,0.002512925,0.005062026,0.005034531,0.033415845,0.006804897,0.008409856,0.004072444,0.003143681,0.003902507,0.101194927,0.007407383
0.004237699,0.003659633,0.010298944,0.003123425,0.011041534,0.001519528,0.075473434,0.012578171,0.005324747,0.005062026,0.00631136,0.006163644,0.117696449,0.008503013,0.014257562,0.005501452,0.003486295,0.00631136,0.168845588,0.008409856
0.007407383,0.004237699,0.010324185,0.003659633,0.014844094,0.001587458,0.11439,0.027179543,0.005561416,0.005191715,0.012175798,0.006410727,0.13813151,0.011795142,0.025255705,0.008409856,0.003902507,0.008409856,0.17734,0.009096142
0.007792369,0.00436345,0.011041534,0.004237699,0.018606407,0.001754062,0.122324396,0.047391879,0.00631136,0.009212391,0.014257562,0.010569006,0.149312452,0.014257562,0.028434799,0.012642479,0.003902507,0.012642479,0.178224527,0.010577532
0.010298944,0.004501457,0.01384,0.007792369,0.025201143,0.0018802,0.13243,0.054368145,0.009492126,0.014257562,0.031944073,0.011334731,0.157275695,0.016553353,0.031944073,0.014257562,0.006109509,0.014257562,0.180889992,0.043458423
0.010324185,0.00631136,0.014844094,0.010298944,0.035657357,0.002296012,0.186226373,0.054573189,0.010056292,0.016076639,0.034764409,0.0158,0.228192923,0.020168286,0.050534882,0.015956223,0.006430428,0.025255705,0.18538581,0.050534882
0.011041534,0.006495966,0.018606407,0.010324185,0.10694266,0.002771321,0.20949,0.06380393,0.010298944,0.020168286,0.103357494,0.025744592,2.756084826,0.03122,0.051044746,0.021740432,0.008409856,0.043458423,0.298608391,0.18538581
0.014844094,0.007792369,0.022757955,0.011041534,0.12076,0.003478821,0.4,0.101536307,0.01444,0.030279578,0.117219537,0.026977394,2.756084826,0.039304687,0.101194927,0.028434799,0.010698036,0.050534882,0.330952124,0.298608391
