Mapoon,MissionRiver,EscapeRiver,AlligatorRivers,TanaRiver,MungoRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver
0.001209704,0.001209704,0.001209704,0.000395442,0.001416334,0.003795511,0.000608672,0.002978925,0.000608672,0.001741686
0.001519528,0.001519528,0.001754062,0.000946501,0.001604005,0.004981954,0.001190407,0.003143681,0.001190407,0.001772886
0.001519528,0.001519528,0.002073583,0.001116996,0.001854641,0.005094604,0.001741686,0.003486295,0.002970874,0.001909447
0.001754062,0.001754062,0.002512925,0.001209704,0.00223429,0.006133155,0.003902507,0.003902507,0.002978925,0.003902507
0.003659633,0.002073583,0.002970874,0.001209704,0.002512925,0.006804897,0.008409856,0.004072444,0.003143681,0.003902507
0.004237699,0.003659633,0.003123425,0.001519528,0.005062026,0.008503013,0.014257562,0.005501452,0.003486295,0.00631136
0.007407383,0.004237699,0.003659633,0.001587458,0.005191715,0.011795142,0.025255705,0.008409856,0.003902507,0.008409856
0.007792369,0.00436345,0.004237699,0.001754062,0.009212391,0.014257562,0.028434799,0.012642479,0.003902507,0.012642479
0.010298944,0.004501457,0.007792369,0.0018802,0.014257562,0.016553353,0.031944073,0.014257562,0.006109509,0.014257562
0.010324185,0.00631136,0.010298944,0.002296012,0.016076639,0.020168286,0.050534882,0.015956223,0.006430428,0.025255705
0.011041534,0.006495966,0.010324185,0.002771321,0.020168286,0.03122,0.051044746,0.021740432,0.008409856,0.043458423
0.014844094,0.007792369,0.011041534,0.003478821,0.030279578,0.039304687,0.101194927,0.028434799,0.010698036,0.050534882
0.016,0.010298944,0.01384,0.003659633,0.034764409,0.04173,0.147154249,0.031944073,0.012642479,0.051044746
0.018606407,0.010324185,0.018606407,0.003918151,0.036268171,0.044928745,0.168845588,0.035751972,0.014257562,0.05222
0.019448548,0.011041534,0.021527817,0.00490875,0.04185,0.081290829,0.17734,0.044786767,0.015,0.101194927
0.022757955,0.013677565,0.021822883,0.007792369,0.06380393,0.105678505,0.178224527,0.050534882,0.021740432,0.13352018
0.025201143,0.014844094,0.022757955,0.008503013,0.080015473,0.109730499,0.18538581,0.051044746,0.028434799,0.147154249
0.03524,0.018606407,0.025201143,0.010324185,0.089706049,0.117696449,0.298608391,0.069503648,0.031944073,0.168655303
0.035657357,0.022757955,0.03524,0.010658364,0.105678505,0.14099,0.340121195,0.101194927,0.035751972,0.168845588
0.09021863,0.025201143,0.035657357,0.011041534,0.132678218,0.143639842,0.384761122,0.141817515,0.03628,0.180889992
0.10694266,0.03524,0.117178024,0.011342399,0.13813151,0.167152092,0.54056,0.147154249,0.044786767,0.18538581
0.12076,0.035657357,0.12076,0.027329601,0.170867252,0.38659892,0.74947,0.168845588,0.050534882,0.298608391
0.123642655,0.10694266,0.20089,0.039573781,0.186226373,0.54383,0.918737436,0.17734,0.051044746,0.330952124
0.20089,0.10694266,0.215059013,0.044250933,0.28183,1.08181,2.428456575,0.178224527,0.05222,0.341663693
0.215059013,0.12076,0.236290414,0.0452,0.81117,1.08181,2.75838,0.18538581,0.057,0.384761122
0.23,0.123642655,0.358109679,0.084856742,1.72213,1.402186557,2.75838,0.24647,0.062492741,0.42581
0.286864233,0.14268,0.41341,0.12076,1.95,2.209811987,2.78764,0.267795725,0.069503648,0.54056
0.358109679,0.15651283,0.415337939,0.123642655,2.290032263,2.756084826,3.7755,0.298608391,0.085499859,0.72894123
0.549540874,0.168245748,0.62617,0.358109679,2.405106273,2.87565,4.13499,0.330952124,0.101194927,0.74947
0.62617,0.185511054,0.64442,0.391371556,3.60016,3.00208,4.434010457,0.33985,0.10228,0.828281715
0.64442,0.236290414,0.681263559,0.544139158,5.04129,3.25498,4.57045225,0.340121195,0.1057687,0.9124
0.681263559,0.252348077,0.82476,0.62617,11.99996,3.57827,6.39831,0.341663693,0.12042,0.918737436
0.867783098,0.300695682,0.867783098,0.681263559,14.98546505,5.13257,6.55497,0.353744275,0.13352018,1
0.911477144,0.317418469,0.911477144,0.818297416,21.99999,5.13257,6.6465,0.384761122,0.141817515,1.117002973
1.338379266,0.327937141,1.50577,0.867783098,50.57792,5.25691,6.875,0.418506407,0.147154249,1.13475
1.50577,0.358109679,1.603692998,0.911477144,52.39999,12.07558,8.69725,0.42581,0.168655303,2.188578452
1.603692998,0.415337939,3.015814667,1.50577,63.36998,14.2533,26,0.51584565,0.168845588,2.44181
3.495326036,0.415337939,4.352006737,1.603692998,158.62393,23.74741572,31.79871,0.54056,0.17734,2.75838
4.352006737,0.42223659,6.242188842,3.495326036,591.3955721,29.39785892,46.22003451,0.72894123,0.178224527,3.27081
4.49997,0.549540874,6.939880416,4.49997,1536.3104,45,78.31590231,0.74947,0.180889992,3.7755
6.242188842,0.62617,9.571160808,6.939880416,,,83.94309,0.828281715,0.18538581,3.922317946
6.939880416,0.64442,39.23452969,9.571160808,,,169.49664,0.871589896,0.24647,4.13499
9.571160808,0.681263559,1150.299704,21.71016364,,,,1,0.2488,4.434010457
39.23452969,0.818297416,,1150.299704,,,,1.03047,0.298608391,4.8
1150.299704,0.867783098,,,,,,1.03047,0.330952124,6.32454
,0.911477144,,,,,,1.106665658,0.340121195,6.39831
,1.338379266,,,,,,1.13475,0.341663693,6.55497
,1.338379266,,,,,,1.532030329,0.350929995,6.6465
,1.50577,,,,,,2.428456575,0.353744275,6.875
,1.603692998,,,,,,2.44181,0.36377,6.93172
,3.495326036,,,,,,2.75838,0.384761122,11.88
,4.352006737,,,,,,2.78764,0.38967372,19.99888542
,5.356414043,,,,,,3.030065726,0.418506407,26
,6.242188842,,,,,,3.214803215,0.42581,31.79871
,6.939880416,,,,,,3.27081,0.51584565,46.22003451
,9.571160808,,,,,,3.7755,0.54056,53.95405
,21.71016364,,,,,,3.922317946,0.72894123,73.38140621
,39.23452969,,,,,,3.94901,0.74947,83.94309
,1150.299704,,,,,,4.13499,0.828281715,169.49664
,,,,,,,4.434010457,0.871589896,
,,,,,,,4.57045225,0.918737436,
,,,,,,,4.8,1,
,,,,,,,6.32454,1.03047,
,,,,,,,6.39831,1.082321643,
,,,,,,,6.55497,1.117002973,
,,,,,,,6.6465,1.13475,
,,,,,,,6.875,1.340517994,
,,,,,,,6.93172,1.532030329,
,,,,,,,8.69725,2.188578452,
,,,,,,,9.70283,2.44181,
,,,,,,,11.88,2.75838,
,,,,,,,13.58501871,2.75838,
,,,,,,,19.99888542,2.78764,
,,,,,,,26,3.030065726,
,,,,,,,29.53183,3.27081,
,,,,,,,31.79871,3.457768049,
,,,,,,,40.64189,3.7755,
,,,,,,,46.22003451,3.922317946,
,,,,,,,53.95405,4.13499,
,,,,,,,53.95405,4.434010457,
,,,,,,,73.38140621,4.57045225,
,,,,,,,83.94309,4.8,
,,,,,,,169.49664,5.74166,
,,,,,,,883.39781,6.32454,
,,,,,,,,6.39831,
,,,,,,,,6.55497,
,,,,,,,,6.875,
,,,,,,,,6.875,
,,,,,,,,6.93172,
,,,,,,,,8.69725,
,,,,,,,,11.88,
,,,,,,,,26,
,,,,,,,,29.53183,
,,,,,,,,31.79871,
,,,,,,,,32.22328853,
,,,,,,,,46.22003451,
,,,,,,,,53.95405,
,,,,,,,,73.38140621,
,,,,,,,,78.31590231,
,,,,,,,,83.94309,
,,,,,,,,169.49664,
