ApprouagueRiver,SinnamaryRiver
0.002978925,0.000608672
0.003143681,0.001190407
0.003486295,0.002970874
0.003902507,0.002978925
0.004072444,0.003143681
0.005501452,0.003486295
0.008409856,0.003902507
0.012642479,0.003902507
0.014257562,0.006109509
0.015956223,0.006430428
0.021740432,0.008409856
0.028434799,0.010698036
0.031944073,0.012642479
0.035751972,0.014257562
0.044786767,0.015
0.050534882,0.021740432
0.051044746,0.028434799
0.069503648,0.031944073
0.101194927,0.035751972
0.141817515,0.03628
0.147154249,0.044786767
0.168845588,0.050534882
0.17734,0.051044746
0.178224527,0.05222
0.18538581,0.057
0.24647,0.062492741
0.267795725,0.069503648
0.298608391,0.085499859
0.330952124,0.101194927
0.33985,0.10228
0.340121195,0.1057687
0.341663693,0.12042
0.353744275,0.13352018
0.384761122,0.141817515
0.418506407,0.147154249
0.42581,0.168655303
0.51584565,0.168845588
0.54056,0.17734
0.72894123,0.178224527
0.74947,0.180889992
0.828281715,0.18538581
0.871589896,0.24647
1,0.2488
1.03047,0.298608391
1.03047,0.330952124
1.106665658,0.340121195
1.13475,0.341663693
1.532030329,0.350929995
2.428456575,0.353744275
2.44181,0.36377
2.75838,0.384761122
2.78764,0.38967372
3.030065726,0.418506407
3.214803215,0.42581
3.27081,0.51584565
3.7755,0.54056
3.922317946,0.72894123
3.94901,0.74947
4.13499,0.828281715
4.434010457,0.871589896
4.57045225,0.918737436
4.8,1
6.32454,1.03047
6.39831,1.082321643
6.55497,1.117002973
6.6465,1.13475
6.875,1.340517994
6.93172,1.532030329
8.69725,2.188578452
9.70283,2.44181
11.88,2.75838
13.58501871,2.75838
19.99888542,2.78764
26,3.030065726
29.53183,3.27081
31.79871,3.457768049
40.64189,3.7755
46.22003451,3.922317946
53.95405,4.13499
53.95405,4.434010457
73.38140621,4.57045225
83.94309,4.8
169.49664,5.74166
883.39781,6.32454
,6.39831
,6.55497
,6.875
,6.875
,6.93172
,8.69725
,11.88
,26
,29.53183
,31.79871
,32.22328853
,46.22003451
,53.95405
,73.38140621
,78.31590231
,83.94309
,169.49664
