Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,Aurukun,AlligatorRivers,Taman,KamparRiver,KikoriRiver,Porai,TanaRiver,Lamu,KilwaKisiwani,Loango,MungoRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver,Matapica,EssequiboRiver,Morawhanna
0.00071909,0.001081329,0.001209704,0.000660915,0.001209704,0.00035308,0.007556618,0.005561416,0.002970874,0.00071909,0.001416334,0.001416334,0.000920865,0.004237699,0.003795511,0.000608672,0.00255346,0.000608672,0.001741686,0.00255346,0.001772886,0.00255346
0.001081329,0.001209704,0.001314835,0.001081329,0.001754062,0.000395442,0.0278332,0.006196854,0.003605516,0.001209704,0.001604005,0.001854641,0.001795698,0.005359132,0.004981954,0.001190407,0.002978925,0.001190407,0.001772886,0.003902507,0.001772886,0.002970874
0.001209704,0.001519528,0.001754062,0.001209704,0.002296012,0.000493091,0.038786112,0.00631136,0.005561416,0.001209704,0.001794297,0.001958812,0.001958812,0.011795142,0.005094604,0.001741686,0.003143681,0.00255346,0.001909447,0.010698036,0.00255346,0.015434998
0.001519528,0.001519528,0.002970874,0.001754062,0.003664003,0.000946501,0.054368145,0.00670928,0.006196854,0.001432112,0.001854641,0.002361505,0.00267994,0.014257562,0.006133155,0.003902507,0.003486295,0.002970874,0.00255346,0.02223073,0.003143681,0.02223073
0.001519528,0.001754062,0.003123425,0.002073583,0.004970238,0.001116996,0.06380393,0.007341543,0.00631136,0.00294374,0.00223429,0.004442534,0.003127007,0.016553353,0.006804897,0.008409856,0.003902507,0.002978925,0.003902507,0.022261116,0.003712989,0.031944073
0.001754062,0.001998957,0.003123425,0.002512925,0.007792369,0.001116996,0.071910173,0.012116006,0.076787214,0.002970874,0.002512925,0.005062026,0.00351025,0.026897855,0.008503013,0.014257562,0.004072444,0.003143681,0.003902507,0.043458423,0.003902507,0.035751972
0.003123425,0.002073583,0.004237699,0.002970874,0.008503013,0.001209704,0.075473434,0.012578171,0.092820147,0.003123425,0.002751079,0.00631136,0.003759386,0.033415845,0.011795142,0.025255705,0.005501452,0.003486295,0.00631136,0.051044746,0.007407383,0.050534882
0.003123425,0.003123425,0.004970238,0.003123425,0.010298944,0.001209704,0.076025654,0.027179543,0.132425943,0.003707738,0.005062026,0.012175798,0.004441028,0.117696449,0.014257562,0.028434799,0.008409856,0.003902507,0.008409856,0.071267129,0.008409856,0.069503648
0.003659633,0.003478821,0.010298944,0.003123425,0.011041534,0.001519528,0.089706049,0.0278332,0.156302009,0.003918151,0.005191715,0.012737779,0.005034531,0.137543685,0.016553353,0.031944073,0.012113573,0.003902507,0.009800651,0.077785303,0.009096142,0.098836648
0.004237699,0.003659633,0.010324185,0.003123425,0.014844094,0.001587458,0.11156758,0.032042473,0.188166198,0.004317424,0.009212391,0.014257562,0.005422525,0.13813151,0.017392817,0.050534882,0.012642479,0.006109509,0.012113573,0.098836648,0.010577532,0.1057687
0.004970238,0.003664003,0.011041534,0.003659633,0.015319658,0.001754062,0.122324396,0.047391879,0.215059013,0.004479997,0.014257562,0.031944073,0.006163644,0.149312452,0.020168286,0.051044746,0.014257562,0.006430428,0.012642479,0.098836648,0.043458423,0.120207737
0.007407383,0.004136665,0.014844094,0.004237699,0.018606407,0.0018802,0.186226373,0.054368145,0.222063538,0.004653577,0.016076639,0.034764409,0.006410727,0.157275695,0.039304687,0.101194927,0.015956223,0.007961218,0.014257562,0.101194927,0.050534882,0.147154249
0.007792369,0.004237699,0.015319658,0.004970238,0.025201143,0.001998957,0.467038299,0.054573189,0.228192923,0.004967711,0.01895752,0.042403717,0.007777069,0.228192923,0.044928745,0.110047119,0.01651293,0.008409856,0.019837,0.120207737,0.071267129,0.168845588
0.008503013,0.00436345,0.018606407,0.006975775,0.027807273,0.002296012,0.521359018,0.06380393,0.252348077,0.005324747,0.020168286,0.06380393,0.010569006,0.471795117,0.081290829,0.112690354,0.019837,0.010698036,0.024191383,0.168845588,0.139159931,0.174271172
0.010298944,0.004501457,0.022757955,0.007792369,0.027807273,0.002771321,0.655616308,0.101536307,0.333417396,0.005356699,0.020169022,0.066518964,0.011334731,0.885966756,0.099278523,0.147154249,0.021740432,0.012642479,0.025255705,0.178224527,0.18538581,0.179554264
