MissionRiver,Porai,ApprouagueRiver,SinnamaryRiver
0.001081329,0.00071909,0.00255346,0.000608672
0.001209704,0.001209704,0.002978925,0.001190407
0.001519528,0.001209704,0.003143681,0.00255346
0.001519528,0.001432112,0.003486295,0.002970874
0.001754062,0.00294374,0.003902507,0.002978925
0.001998957,0.002970874,0.004072444,0.003143681
0.002073583,0.003123425,0.005501452,0.003486295
0.003123425,0.003707738,0.008409856,0.003902507
0.003478821,0.003918151,0.012113573,0.003902507
0.003659633,0.004317424,0.012642479,0.006109509
0.003664003,0.004479997,0.014257562,0.006430428
0.004136665,0.004653577,0.015956223,0.007961218
0.004237699,0.004967711,0.01651293,0.008409856
0.00436345,0.005324747,0.019837,0.010698036
0.004501457,0.005356699,0.021740432,0.012642479
0.004970238,0.005561416,0.022261116,0.014257562
0.00631136,0.00631136,0.028434799,0.015434998
0.006495966,0.006375152,0.031944073,0.01651293
0.007792369,0.006804897,0.035751972,0.018800933
0.010298944,0.00814234,0.044786767,0.019837
0.010324185,0.008503013,0.050534882,0.021740432
0.011041534,0.009492126,0.051044746,0.028434799
0.013677565,0.010056292,0.069503648,0.029822698
0.014844094,0.010298944,0.071267129,0.031944073
0.015319658,0.010473156,0.098836648,0.035751972
0.018606407,0.018428542,0.098836648,0.044786767
0.022757955,0.021527817,0.101194927,0.047551752
0.025201143,0.021822883,0.107406796,0.050534882
0.027807273,0.022757955,0.112690354,0.051044746
0.027807273,0.032042473,0.120207737,0.062492741
0.035657357,0.034764409,0.120207737,0.069503648
0.047579601,0.034764409,0.141817515,0.071267129
0.073792132,0.046415401,0.147154249,0.077785303
0.078310934,0.048296756,0.168845588,0.085499859
0.105092827,0.058806142,0.176460849,0.098836648
0.10694266,0.060609805,0.178224527,0.098836648
0.10694266,0.092820147,0.179554264,0.101194927
0.10694266,0.117178024,0.1796008,0.1057687
0.123642655,0.132678218,0.18538581,0.107406796
0.147481518,0.163493069,0.203084099,0.110047119
0.15651283,0.179156303,0.204843879,0.112690354
0.168245748,0.188166198,0.228192923,0.120207737
0.184497846,0.215059013,0.267795725,0.13352018
0.185511054,0.222063538,0.298608391,0.139159931
0.228192923,0.228192923,0.330952124,0.141817515
0.236290414,0.252348077,0.340121195,0.147154249
0.252348077,0.252348077,0.341663693,0.168655303
0.252348077,0.283791903,0.353744275,0.168845588
0.252348077,0.333417396,0.384761122,0.176460849
0.252348077,0.43747851,0.418506407,0.178224527
0.283791903,0.480839348,0.4698665,0.179554264
0.297492816,0.5735286,0.51584565,0.1796008
0.300695682,0.681263559,0.555454227,0.180889992
0.312569834,0.867783098,0.557489413,0.18538581
0.317418469,1.152032455,0.681263559,0.200224519
0.327937141,1.169334739,0.72894123,0.203084099
0.358109679,3.454073295,0.828281715,0.218752403
0.391371556,4.352006737,0.871589896,0.228192923
0.391371556,4.665504805,1.106665658,0.251140895
0.415337939,5.852720963,1.245615257,0.267795725
0.415337939,160.2577315,1.387498697,0.277521674
0.42223659,,1.532030329,0.298608391
0.474527787,,1.722565965,0.330952124
0.474527787,,1.803445436,0.340121195
0.549540874,,2.363384631,0.341663693
0.567192111,,2.428456575,0.350929995
0.669655841,,3.030065726,0.353744275
0.669655841,,3.214803215,0.384761122
0.681263559,,3.922317946,0.38967372
0.782198174,,4.434010457,0.418506407
0.818297416,,4.57045225,0.4698665
0.842333075,,6.584406955,0.496790885
0.867783098,,8.220684806,0.51584565
0.911477144,,11.1551513,0.555454227
1.338379266,,13.58501871,0.557489413
1.338379266,,19.99888542,0.72894123
1.338379266,,21.66907022,0.828281715
1.603692998,,35.28376647,0.871589896
2.880539228,,46.22003451,0.918737436
3.495326036,,73.38140621,1.082321643
4.352006737,,883.39781,1.117002973
4.665504805,,,1.340517994
5.356414043,,,1.365424355
6.067444033,,,1.387498697
6.242188842,,,1.532030329
6.939880416,,,1.631829906
9.571160808,,,1.722565965
10.12338067,,,1.803445436
21.71016364,,,2.188578452
39.23452969,,,2.363384631
1150.299704,,,2.882989031
,,,3.030065726
,,,3.457768049
,,,3.922317946
,,,4.434010457
,,,4.57045225
,,,8.220684806
,,,21.66907022
,,,32.22328853
,,,35.28376647
,,,46.22003451
,,,73.38140621
,,,78.31590231
,,,345.1437393
