TanaRiver,MungoRiver,ApprouagueRiver,SinnamaryRiver
55.46446,2.87565,0.04074,0.048
52.59169,0.1,0.74947,0.03628
11.99996,45,0.54056,0.015
0.0185,5.13257,1.13475,4.8
0.05587,1.53931,6.6465,0.74947
0.0958,1.28,48.14491,3.00999
1.95,0.33288,0.24647,0.24647
0.123,0.25,1.66719,0.42581
4.8334,0.10931,1.9,3.7755
0.05381,0.12775,31.79871,48.14491
0.007,0.0102,75.90125,29.53183
0.81117,0.02213,2.75838,0.54056
1536.3104,0.05446,21.13369,0.03491
0.09599,0.08984,1,21.13369
0.04185,0.04173,8.17255,31.79871
0.12707,0.06272,169.49664,20.54686
136.00033,0.008,53.95405,169.49664
3.69599,0.03442,1.03047,75.90125
9.24995,0.07095,4.3758,16.63317
94.32039,0.11445,9.70283,83.94309
79.13217,0.01705,3.00999,2.75838
3824.53993,0.14099,3.7755,2.44181
15.82215,3.69599,0.31403,26
592.66598,5.25691,6.32454,6.32454
3.60016,1.08181,3.00999,4.3758
50.57792,14.2533,6.39831,6.55497
562.59269,3.98017,8.17255,4.13499
964.65473,3.25498,53.95405,11.88
400,3.57827,6.55497,53.95405
5.04129,7.29307,4.13499,5.74166
52.39999,0.27737,4.1162,6.875
158.62393,0.01118,20.54686,1
38.80437,5.13257,4.8,3.27081
82.49999,1.08181,11.88,6.93172
21.99999,0.03122,6.875,2.75838
63.36998,0.06272,83.94309,2.78764
75.60752,43.25039,21.13369,1.66719
204.39348,3.00208,26,8.69725
0.28183,12.07558,0.95487,6.39831
1.72213,0.54383,6.93172,0.95487
5.63901,,0.17734,1.13475
,,40.64189,1.9
,,2.78764,0.03315
,,2.44181,0.089
,,0.03491,0.10228
,,3.94901,0.17734
,,16.63317,0.00759
,,3.27081,0.31403
,,48.14491,0.36377
,,8.69725,0.057
,,0.42581,1.03047
,,29.53183,0.0734
,,0.33985,6.875
,,1.03047,0.04074
,,16.63317,0.2488
,,,0.39866
,,,0.12042
,,,0.05222
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,0.003143681
,,,0.002978925
,,,0.002970874
,,,0.00255346
,,,0.001190407
,,,0.000608672
