Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,AlligatorRivers,Porai,TanaRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver
1150.299704,1150.299704,1150.299704,1150.299704,1150.299704,4.352006737,591.3955721,883.39781,73.38140621,73.38140621
9.571160808,9.571160808,4.352006737,9.571160808,9.571160808,1.152032455,14.98546505,73.38140621,46.22003451,46.22003451
6.939880416,6.939880416,0.911477144,6.939880416,6.939880416,0.5735286,0.13813151,46.22003451,8.220684806,19.99888542
4.352006737,4.352006737,0.358109679,4.352006737,3.495326036,0.222063538,0.080015473,19.99888542,4.434010457,8.220684806
3.495326036,3.495326036,0.236290414,1.603692998,1.603692998,0.117178024,0.06380393,8.220684806,0.298608391,4.434010457
1.603692998,1.603692998,0.123642655,0.911477144,0.911477144,0.060609805,0.06380393,4.434010457,0.168845588,0.298608391
0.911477144,0.911477144,0.035657357,0.358109679,0.818297416,0.048296756,0.034764409,2.428456575,0.141817515,0.168845588
0.358109679,0.818297416,0.025201143,0.236290414,0.544139158,0.046415401,0.030279578,1.106665658,0.101194927,0.101194927
0.286864233,0.42223659,0.022757955,0.117178024,0.358109679,0.034764409,0.020168286,0.298608391,0.062492741,0.051044746
0.123642655,0.358109679,0.018606407,0.035657357,0.123642655,0.034764409,0.016076639,0.168845588,0.051044746,0.050534882
0.035657357,0.236290414,0.015319658,0.025201143,0.084856742,0.022757955,0.014257562,0.141817515,0.050534882,0.043458423
0.025201143,0.123642655,0.014844094,0.022757955,0.044250933,0.021822883,0.009212391,0.101194927,0.044786767,0.025255705
0.022757955,0.035657357,0.011041534,0.021822883,0.027329601,0.021527817,0.005191715,0.051044746,0.035751972,0.014257562
0.019448548,0.025201143,0.010324185,0.021527817,0.011342399,0.018428542,0.005062026,0.050534882,0.031944073,0.012642479
0.018606407,0.022757955,0.010298944,0.021527817,0.011041534,0.010473156,0.002751079,0.044786767,0.028434799,0.009800651
0.015319658,0.018606407,0.004970238,0.018606407,0.010658364,0.010298944,0.002512925,0.035751972,0.021740432,0.008409856
0.014844094,0.015319658,0.004237699,0.015319658,0.010324185,0.010056292,0.00223429,0.031944073,0.014257562,0.00631136
0.011041534,0.014844094,0.003123425,0.011041534,0.008503013,0.009492126,0.001854641,0.028434799,0.012642479,0.003902507
0.010324185,0.011041534,0.003123425,0.010324185,0.007792369,0.008503013,0.001794297,0.021740432,0.010698036,0.003902507
0.010298944,0.010324185,0.002970874,0.010298944,0.00490875,0.00814234,0.001416334,0.015956223,0.008409856,0.00255346
0.008503013,0.010298944,0.001754062,0.007792369,0.003918151,0.006804897,,0.014257562,0.006430428,0.001909447
0.007792369,0.007792369,0.001314835,0.004970238,0.003659633,0.006375152,,0.012642479,0.006109509,0.001772886
0.007407383,0.006495966,0.001209704,0.004237699,0.003478821,0.00631136,,0.008409856,0.003902507,0.001741686
0.004970238,0.00631136,,0.003659633,0.003123425,0.005561416,,0.005501452,0.003902507,
0.004237699,0.004970238,,0.003123425,0.002771321,0.005356699,,0.004072444,0.003486295,
0.003659633,0.004501457,,0.003123425,0.002296012,0.005324747,,0.003902507,0.003143681,
0.003123425,0.00436345,,0.003123425,0.001998957,0.004967711,,0.003486295,0.002978925,
0.003123425,0.004237699,,0.002970874,0.0018802,0.004653577,,0.003143681,0.002970874,
0.001754062,0.004136665,,0.002512925,0.001754062,0.004479997,,0.002978925,0.00255346,
0.001519528,0.003659633,,0.001754062,0.001587458,0.004317424,,0.00255346,0.001190407,
0.001519528,0.003478821,,0.001209704,0.001519528,0.003918151,,,0.000608672,
0.001209704,0.003123425,,0.001081329,0.001209704,0.003707738,,,,
0.001081329,0.001998957,,0.000660915,0.001209704,0.003123425,,,,
0.00071909,0.001754062,,,0.001116996,0.002970874,,,,
,0.001519528,,,0.001116996,0.00294374,,,,
,0.001519528,,,0.000946501,0.001432112,,,,
,0.001209704,,,0.000395442,0.001209704,,,,
,0.001081329,,,0.00035308,0.001209704,,,,
,,,,,0.00071909,,,,
