Mapoon,MissionRiver,MacDonaldDoughboy,EscapeRiver,Aurukun,MurgenellaCreek,AlligatorRivers,Taman,KamparRiver,KikoriRiver,Porai,TanaRiver,Lamu,KilwaKisiwani,Loango,CongoDelta,CuanzaRiver,DombeGrande,MungoRiver,OyapokRiver,ApprouagueRiver,SinnamaryRiver,MaroniRiver,Matapica,EssequiboRiver,Marawhanna
1150.299704,1150.299704,1150.299704,1150.299704,1150.299704,1150.299704,1150.299704,1150.299704,161.91466,1150.299704,160.2577315,3824.53993,592.66598,3824.53993,4750.00001,1536.3104,3824.53993,592.66598,45,169.49664,883.39781,345.1437393,345.1437393,345.1437393,19.99888542,35.28376647
39.23452969,39.23452969,39.23452969,39.23452969,21.71016364,11.81575,26.30015718,806.1006979,58.70187374,160.2577315,5.852720963,1536.3104,204.39348,1536.3104,1536.3104,592.66598,1536.3104,562.59269,43.25039,83.94309,169.49664,169.49664,169.49664,78.31590231,7.499035767,3.030065726
27.2501,27.2501,11.81575,14.99995,10.12338067,4.01201,21.71016364,400.2034981,42.12901091,30.00000002,4.665504805,964.65473,164.99849,9.995929559,592.66598,264.17396,964.65473,279.16065,29.39785892,78.31590231,83.94309,83.94309,83.94309,6.93172,6.39831,2.78764
11.81575,21.71016364,6.067444033,11.81575,6.067444033,1.50577,21.71016364,246.6039337,23.3,10.43511191,4.352006737,592.66598,63.36998,8.213573636,591.3955721,204.39348,592.66598,206.05641,23.74741572,46.22003451,75.90125,78.31590231,75.90125,6.39831,6.32454,2.363384631
10.12338067,11.81575,4.352006737,9.571160808,2.880539228,1.3982,17,53.40829,7.82078,10.12338067,3.454073295,591.3955721,54.83919108,3.69599,190.0987484,190.0987484,591.3955721,33.57124,14.2533,31.79871,73.38140621,75.90125,73.38140621,4.57045225,4.434010457,1.340517994
9.571160808,10.12338067,4.06046,6.939880416,2.68539,0.842333075,11.81575,42.12901091,7.34999,1.338379266,1.169334739,562.59269,43.25039,3.122264779,112.58899,111.95371,562.59269,21.99999,12.07558,26,53.95405,73.38140621,53.95405,4.434010457,1.9,1.245615257
6.939880416,9.571160808,3.015814667,6.242188842,2.55031612,0.358109679,10.12338067,23.3,7.02691,1.338379266,1.152032455,400,43.25039,1.26,75.55425,69.06379,400,17.72944,7.29307,21.13369,53.95405,53.95405,48.14491,4.3758,1.803445436,0.978164887
6.242188842,6.939880416,3.015814667,6.067444033,2.130027625,0.283791903,9.571160808,12.26565,5.82908,0.867783098,0.867783098,204.39348,15.82215,0.965457752,70.00031,43.25039,206.05641,15.63915,5.25691,20.54686,48.14491,48.14491,46.22003451,3.922317946,1.245615257,0.557489413
6.067444033,6.242188842,2.880539228,4.51147,1.694475996,0.02305,6.939880416,7.17681,4.56932,0.681263559,0.681263559,158.62393,15.63915,0.81117,52.39999,19.70010337,198.61968,13.48655,5.13257,16.63317,48.14491,46.22003451,31.79871,3.030065726,1.016949696,0.330952124
4.75,6.067444033,2.68539,4.352006737,1.603692998,0.011041534,6.067444033,6.9,4.000602196,0.669655841,0.62617,136.00033,14.98546505,0.391371556,50.51750033,12.07558,188.40445,11.66153,5.13257,8.69725,46.22003451,35.28376647,26,2.75838,0.828281715,0.298608391
