No.,Name,Mean Romer estimate (g),MeanCSA,MinCSA,MaxCSA,MeanLCSA,MinLCSA,MaxLCSA,MeanDCSA,MinDCSA,MaxDCSA
WM6534,Clepsydrops collettii,24000,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713
WM6530,Clepsydrops collettii,24000,1.642217129,1.625826713,1.658011397,1.625826713,1.625826713,1.625826713,1.659202877,1.625826713,1.69019608
WM6531,Clepsydrops collettii,24000,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713
WM6578,Clepsydrops collettii,24000,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713,1.625826713
WM6532,Clepsydrops vinslovii,14000,1.397940009,1.397940009,1.397940009,1.397940009,1.397940009,1.397940009,1.397940009,1.397940009,1.397940009
WM6533,Clepsydrops vinslovii,14000,1.397940009,1.397940009,1.397940009,1.397940009,1.397940009,1.397940009,1.397940009,1.397940009,1.397940009
UM15438,Varanosaurus wichitaensis,17000,1.439332694,1.439332694,1.439332694,1.480725379,1.480725379,1.480725379,1.397940009,1.397940009,1.397940009
Type,Varanosaurus acutirostris,28000,1.591064607,1.591064607,1.591064607,1.592454351,1.556302501,1.625826713,1.556302501,1.556302501,1.556302501
AM4174,Varanosaurus acutirostris,28000,1.658011397,1.62324929,1.69019608,1.702861171,1.69019608,1.750122527,1.627109711,1.556302501,1.69019608
AM4777,Ophiacodon navajovicus,32000,1.779355952,1.720159303,1.832508913,1.751407423,1.69019608,1.806179974,1.807309479,1.750122527,1.858837851
AM4784,Ophiacodon navajovicus,32000,1.821185883,1.68797462,1.954242509,1.826614634,1.750122527,1.908485019,1.820639256,1.625826713,2
AM4783,Ophiacodon navajovicus,32000,1.845872874,1.804480189,1.883661435,1.807873132,1.750122527,1.858837851,1.884370488,1.858837851,1.908485019
AM4781,Ophiacodon navajovicus,32000,1.750122527,1.750122527,1.750122527,1.750122527,1.750122527,1.750122527,1.750122527,1.750122527,1.750122527
YP1383,Ophiacodon navajovicus,32000,1.715655212,1.69019608,1.750122527,1.721879284,1.69019608,1.806179974,1.735541872,1.69019608,1.858837851
WM671,Ophiacodon mirus,52000,1.966728221,1.931966115,1.977723605,1.955447211,1.955447211,1.955447211,1.978864984,1.908485019,2
MCZ1366,Ophiacodon uniformis,47000,1.956648579,1.883661435,2.021189299,1.94479101,1.908485019,2,1.969357661,1.858837851,2.042378598
AM4143,Ophiacodon uniformis,47000,1.804480189,1.804480189,1.804480189,1.750122527,1.750122527,1.750122527,1.858837851,1.858837851,1.858837851
AM type,Ophiacodon uniformis,47000,2.08278537,2.08278537,2.08278537,2.08278537,2.08278537,2.08278537,2.08278537,2.08278537,2.08278537
AM4614,Ophiacodon uniformis,47000,1.804480189,1.804480189,1.804480189,1.750122527,1.750122527,1.750122527,1.858837851,1.858837851,1.858837851
MCZ1413,Ophiacodon uniformis?,47000,1.659202877,1.625826713,1.69019608,1.659202877,1.625826713,1.69019608,1.659202877,1.625826713,1.69019608
MCZ1120,Ophiacodon retroversus,121000,2.193472451,2.193124598,2.193820026,2.17645302,2.158362492,2.193820026,2.21118731,2.193820026,2.227886705
MCZ1426,Ophiacodon retroversus,121000,2.336959785,2.320665467,2.366422957,2.359716936,2.322736004,2.380663396,2.31636355,2.260667537,2.380663396
WM459,Ophiacodon retroversus,121000,2.504130906,2.485721426,2.52179165,2.498482859,2.486076097,2.51054501,2.511883361,2.460897843,2.557507202
MCZ1103,Ophiacodon retroversus,121000,2.227886705,2.210853365,2.244277121,2.21118731,2.193820026,2.227886705,2.244586337,2.227886705,2.260667537
MCZ1119,Ophiacodon retroversus,121000,2.367976785,2.292256071,2.421603927,2.372912003,2.292256071,2.408239965,2.363768623,2.292256071,2.434967888
WM709,Ophiacodon retroversus,121000,2.321443076,2.320665467,2.322219295,2.276748941,2.260667537,2.292256071,2.366656386,2.352182518,2.380663396
MCZ1470,Ophiacodon retroversus,121000,2.366422957,2.352182518,2.380211242,2.352182518,2.352182518,2.352182518,2.381115081,2.352182518,2.408239965
AM4155,Ophiacodon retroversus,121000,2.423928191,2.366422957,2.510209777,2.401544133,2.352182518,2.486076097,2.446381812,2.380663396,2.534343457
WM458,Ophiacodon retroversus,121000,2.322219295,2.322219295,2.322219295,2.292256071,2.292256071,2.292256071,2.409933123,2.352182518,2.460897843
MCZ1204,Ophiacodon retroversus,121000,2.352182518,2.352182518,2.352182518,2.352182518,2.352182518,2.352182518,2.352182518,2.352182518,2.352182518
AM4604,Ophiacodon retroversus,121000,2.232572615,2.176091259,2.273001272,2.182319527,2.158362492,2.193820026,2.284242687,2.193820026,2.352182518
MCZ1121,Ophiacodon retroversus,121000,2.291701771,2.276461804,2.306425028,2.260667537,2.260667537,2.260667537,2.3232521,2.292256071,2.352182518
MCZ1561,Ophiacodon retroversus,121000,2.352182518,2.337459261,2.366422957,2.337708784,2.322736004,2.352182518,2.366656386,2.352182518,2.380663396
AM4711,Ophiacodon retroversus,121000,2.408239965,2.408239965,2.408239965,2.408239965,2.408239965,2.408239965,2.408239965,2.408239965,2.408239965
AM4026,Ophiacodon retroversus,121000,2.421603927,2.421603927,2.421603927,2.408239965,2.408239965,2.408239965,2.434967888,2.434967888,2.434967888
MCZ1560,Ophiacodon retroversus,121000,2.306425028,2.306425028,2.306425028,2.260667537,2.260667537,2.260667537,2.352182518,2.352182518,2.352182518
AM4007,Ophiacodon retroversus,121000,2.447932866,2.447932866,2.447932866,2.460897843,2.460897843,2.460897843,2.434967888,2.434967888,2.434967888
UM16168,Ophiacodon retroversus,121000,2.244277121,2.244277121,2.244277121,2.227886705,2.227886705,2.227886705,2.260667537,2.260667537,2.260667537
AM4109,Ophiacodon major,230000,2.62838893,2.62324929,2.633468456,2.602059991,2.602059991,2.602059991,2.654777975,2.644438589,2.66487692
MCZ1535,Stereophallodon ciscoensis,129000,2.501914678,2.484655673,2.51851394,2.434967888,2.434967888,2.434967888,2.550737789,2.51054501,2.602059991
AM4768,Stereophallodon ciscoensis,129000,2.402368868,2.334453751,2.498310554,2.377829676,2.260667537,2.486076097,2.430256511,2.352182518,2.51054501
Type,Stereorachis dominans,156000,2.421398246,2.407815642,2.434568904,2.448126358,2.434967888,2.460897843,2.394670524,2.380663396,2.408239965
AM4780,Baldwinonus trux,52000,1.977723605,1.977723605,1.977723605,1.955447211,1.955447211,1.955447211,2,2,2
WM VIIc,Varanops brevirostris,22000,1.605439732,1.51851394,1.658011397,1.566916013,1.480725379,1.625826713,1.644069134,1.556302501,1.69019608
WM464,Aerosaurus greenleeorum,17000,1.505149978,1.477121255,1.556302501,1.50965048,1.397940009,1.556302501,1.50965048,1.397940009,1.556302501
MCZ1124,Secodontosaurus obtusidens,90000,2.237103692,2.120573931,2.276461804,2.211854429,2.158362492,2.260667537,2.26599637,2.08278537,2.352182518
AM4007,Secodontosaurus obtusidens,90000,2.062111714,2.041392685,2.081887139,2.021706009,2,2.042378598,2.102519458,2.08278537,2.121395681
AM4062,Secodontosaurus obtusidens,90000,1.9961832,1.931966115,2.08278537,2.002166062,1.908485019,2.08278537,1.991502961,1.908485019,2.08278537
WM35,Sphenacodon ferox,52000,2.047274867,1.929418926,2.139879086,2.03392612,1.858837851,2.158362492,2.027553454,1.955447211,2.121395681
AM4778,Sphenacodon ferox,52000,2.008954843,1.963787827,2.081887139,1.914695669,1.806179974,2.042378598,2.108903128,2.08278537,2.121395681
WM10,Sphenacodon ferox,52000,1.899455702,1.858837851,1.950608225,1.836482357,1.69019608,1.908485019,1.928992938,1.858837851,2.042378598
UM3588,Sphenacodon ferox,52000,2,2,2,2,2,2,2,2,2
WM1218,Sphenacodon ferox,52000,1.980003372,1.880813592,2.06069784,1.97829467,1.955447211,2,1.99177967,1.806179974,2.121395681
WM?,Sphenacodon ferox,52000,2.033423755,2.033423755,2.033423755,1.908485019,1.908485019,1.908485019,2.158362492,2.158362492,2.158362492
YP818,Sphenacodon ferocior,83000,2.288919606,2.217483944,2.350248018,2.42180951,2.408239965,2.434967888,2.170261715,2,2.292256071
YP1107,Sphenacodon ferocior,83000,2.273001272,2.210853365,2.322219295,2.277322646,2.227886705,2.322736004,2.270824353,2.193820026,2.352182518
WM11,Sphenacodon ferocior,83000,2.108339475,1.975431809,2.244277121,2.06694679,1.908485019,2.227886705,2.151012133,2.042378598,2.260667537
AM4047,Ctenospondylus casei,138000,2.414764502,2.407815642,2.421603927,2.394670524,2.380663396,2.408239965,2.434967888,2.434967888,2.434967888
MCZ1365,Dimetrodon milleri,70000,1.961618815,1.883661435,2.08278537,1.935968857,1.858837851,2.08278537,1.98788961,1.908485019,2.08278537
MCZ1367,Dimetrodon milleri,70000,2.148062535,2.138302698,2.157607853,2.102519458,2.08278537,2.121395681,2.193820026,2.193820026,2.193820026
MCZ1537,Dimetrodon booneorum,63000,2.172943307,2.157607853,2.193124598,2.137248585,2.042378598,2.227886705,2.218579265,2.158362492,2.292256071
MCZ1551,Dimetrodon booneorum,63000,2.118925753,1.998912904,2.276461804,2.120902818,1.955447211,2.292256071,2.117933835,2.042378598,2.260667537
WMIVd,Dimetrodon booneorum,63000,2.079181246,2.021189299,2.130333768,2.059437188,2,2.158362492,2.165095875,2.042378598,2.260667537
AM4826,Dimetrodon booneorum,63000,2.218469857,2.209515015,2.227243782,2.17645302,2.158362492,2.193820026,2.260667537,2.260667537,2.260667537
